timestamp,transcription,intent,machine_id,order_number,employee_id,instandhaltungsobjekt,kurzbeschreibung,name_instandhaltungsobjekt
2025-10-08 11:53:19,Namer-ininstandhaltung objekt öldo-sie-wage-zente-ininstandhaltung objekt l081 kurzbeschreibung stoppfer in der staubsaugerleitung,unknown,sie-wage-zente,,,,Stopfer in der Staubsaugerleitung,
2025-10-08 11:53:20,Nam er-ininstand haltung objekt öl do-sie-wage-zente-ininstandhaltung objekt l081 kurz beschreibung stoppfer in der staubsaugerleitung,unknown,do-sie-wage,,,,Stopfer in der Staubsaugerleitung,
2025-10-08 12:41:19,Namer-instandhaltung objekt öldo-sie-wage-zente-instandhaltung objekt l081 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,report,L081,,,L081,Namer-instandhaltung objekt öldo-sie-wage-zente-instandhaltung objekt l081 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:41:23,Namer-instandhaltung objekt öldo-sie-wage-zente -instand haltung objekt l081 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,report,,,,,objekt öldo-sie-wage-zente -instand haltung objekt l081 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:42:18,"Name in standhaltung objekt, eg-stop-sauger keller hat die anlage zentrale-stop-sauger anlage in standhaltung objekt LL01-LR01-PC00 kurzbeschreibung heißt stromüberwachung-gala-lochplatte, kliana-metike",report,LL01-LR01-PC00,,,LL01-LR01-PC00,,
2025-10-08 12:42:19,"Name in standhaltung objekt, eg-stop-sauger keller hat die anlage zentrale-stop-sauger anlage in standhaltung objekt LL 01-LR01-PC00 kurzbeschreibung heißt stromüberwachung-gala-lochplatte, kliana-metike",report,LL01-LR01-PC00,,,,,
2025-10-08 12:46:07,"Name in standhaltung opjekt, öldosier-wage-zente-instandhaltung opjekt el081 kurzbeschreibung stoppfer in der Stopfer in der Staubsaugerleitung",report,,,,,in standhaltung opjekt öldosier-wage-zente-instandhaltung opjekt el081 kurzbeschreibung stoppfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:46:07,"Name in standhaltung opjekt, öldosier-wage-zente-instandhaltung opjekt el081 kurzbeschreibung stoppfer in der Stopfer in der Staubsaugerleitung",report,,,,,in standhaltung opjekt öldosier-wage-zente-instandhaltung opjekt el081 kurzbeschreibung stoppfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:47:25,Namen instanthaltung objekt öldosier-wage 10 instanthaltung objekt el08-aw01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,report,el08-aw01,,,,objekt öldosier-wage 10 instanthaltung objekt el08-aw01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:47:25,Namen instanthaltung objekt öldosier-wage 10 instanthaltung objekt el08-aw01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,report,el08-aw01,,,,objekt öldosier-wage 10 instanthaltung objekt el08-aw01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:48:58,Name instanthaltung objekt öldosier-warget 10 instanthaltung objekt er08-rw01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,report,er08-rw01,,,,objekt öldosier-warget 10 instanthaltung objekt er08-rw01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:48:58,Name instanthaltung objekt öldosier-warget 10 instanthaltung objekt er08 -rw 01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,report,,,,,10 instanthaltung objekt er08 -rw 01 kurzbeschreibung stopfer in der Stopfer in der Staubsaugerleitung,
2025-10-08 12:58:17,EL08-AW01 kurzbeschreibung stopfer in der staubsaugerleitung,report,EL08-AW01,,,EL08-AW01,stopfer in der staubsaugerleitung,
2025-10-08 12:58:19,stopfer in der staubsaugerleitung,report,,,,,stopfer in der staubsaugerleitung,
2025-10-08 13:51:15,Seiten extruder neue schläuche anbringen und gewinde nachschneiden - htm8510/250 instandhaltung objekt Öl-Dosierwaage 10 instandhaltung objekt EL08-AW01 kurzbeschreibung stopfer in der staubsaugerleitung,report,EL08-AW01,seiten extruder neue schläuche anbringen und gewinde nachschneiden - htm8510/250,,EL08-AW01,stopfer in der staubsaugerleitung,
2025-10-08 14:57:44,Name in instandhaltung objekt Öl-Dosierwaage 10 instandhaltung objekt el08-aw01 kurzbeschreibung stopfer in der staubsaugerleitung,report,EL08-AW01,,,EL08-AW01,stopfer in der staubsaugerleitung,
2025-10-10 09:09:06,Name in instandhaltung objekt Öl-Dosierwaage 10 instandhaltung objekt el08-aw01- kurzbeschreibung stopfer in der staubsaugerleitung,report,EL08-AW01,,,EL08-AW01,stopfer in der staubsaugerleitung,
2025-10-10 09:18:24,Name in instandhaltung objekt Öl-Dosierwaage 10 instandhaltung objekt EL08-AW01 kurzbeschreibung stopfer in der staubsaugerleitung,report,EL08-AW01,,,EL08-AW01,stopfer in der staubsaugerleitung,
2025-10-10 09:18:55,Namen in instandhaltung objekt Öl-Dosierwaage 10 instandhaltung objekt EL08-AW01 kurzbeschreibung stopfer in der staubsaugerleitung,report,EL08-AW01,,,EL08-AW01,stopfer in der staubsaugerleitung,
2025-10-10 09:21:59,Name ent instandhaltung objekt vorlagetank 05 sonterölle ent instandhaltung objekt gegen 02 in 85. 164 kurzbeschreibung vordere ausschubgabeln sind locker und haben lagerspiel,unknown,GEGEN 02 IN 85. 164,164,,GEGEN 02 IN 85. 164,vordere ausschubgabeln sind locker und haben lagerspiel,
2025-10-10 09:22:56,Name in instandhaltung objekt vorlage tank 05 sonderöle in instandhaltung objekt gegen 02-1580 cr-04 kurzbeschreibung vordere ausschubgabeln sind locker und haben lagerspiel,unknown,GEGEN 02 1580 CR-04,1580,,GEGEN 02 1580 CR-04,vordere ausschubgabeln sind locker und haben lagerspiel,
2025-10-10 09:25:36,Name in instandhaltung objekt vorlage tanken und fünf sonderöle in instandhaltung objekt EL08-AW01 kurzbeschreibung vordere ausschubgabeln sind locker und haben lagerspiel,unknown,EL08-AW01,,,EL08-AW01,vordere ausschubgabeln sind locker und haben lagerspiel,
2025-10-10 10:30:29,Name instanthaltung objektvorlage tanken und fünf sonderöle instanthaltung objekt er 08-sw 01b 01 vordere ausschubgabeln sind locker und haben lagerspiel,unknown,,,,,,08-sw
2025-10-10 10:31:04,Name instandhaltung objekt standhaltung objektvorlage tank 05 sonderöle in standhaltung objekt gegen 02-1580 cr04 kurzbeschreibung vordere ausschubgabeln sind locker und haben lagerspiel,unknown,,1580,,,vordere ausschubgabeln sind locker und haben lagerspiel,standhaltung objektvorlage tank 05 sonderöle in standhaltung objekt gegen 02 1580 cr04
2025-10-10 10:31:55,Name instantaltung objekt-öldosier warge 10 instantaltung objekt-er08 rw-1 kurzbeschreibung stopfer in der staubsaugerleitung,unknown,,,,,stopfer in der staubsaugerleitung,10
2025-10-10 10:34:12,Name instanthaltung objekt luvax konzentrationsmessung instanthaltung objekt el10-mp01 kurzbeschreibung seiten extruder neue schläuche anbringen und gewinde nachschneiden - htm8510/250,unknown,el10-mp01,250,,,seiten extruder neue schläuche anbringen und gewinde nachschneiden - htm8510/250,el10-mp01
2025-10-10 10:37:53,"Name instandhaltung objekt standhaltung objekt-x tab-sauger-körper, zentralab-saug- und filter-anlage für kunststoff-steube in standhaltung objekt-gnull 3, in 0 2, is 0 2 kurzbeschreibung deckel zeigt offen an obwohl er geschlossen ist - hrc9480/435_c100",unknown,,,,,deckel zeigt offen an obwohl er geschlossen ist - hrc9480/435_c100,standhaltung objekt-x tab-sauger-körper zentralab-saug- und filter-anlage für kunststoff-steube in standhaltung objekt-gnull 3 in 0 2 is 0 2
2025-10-10 12:38:36,Nama installhaltung-objekt ax-stop sauge-kapa zentraler-op sauge und filter-anlage für kunstoffer-staube installhaltung-objekt offen an obwohl er beschlossen.,unknown,,,,,,
2025-10-10 12:39:22,Stahlhaltung of the act gg03-n0. 0. 0. 0. 0,unknown,,,,,,gg03-in
2025-10-10 12:41:03,Name instanthaltung objekt luvax konzentrationsmessung instanthaltung objekt el10-mp01 kurzbeschreibung seiten extruder neue schläuche anbringen und gewinde nachschneiden - htm8510/250,unknown,el10-mp01,250,,,seiten extruder neue schläuche anbringen und gewinde nachschneiden - htm8510/250,el10-mp01
2025-10-10 12:41:30,"Name instandhaltung objekt standhaltung objekt-x tab-sauger-körper, zentralab-saug- und filter-anlage für kunststoff-steube in standhaltung objekt-gnull 3, in 0 2, is 0 2 kurzbeschreibung deckel zeigt offen an obwohl er geschlossen ist - hrc9480/435_c100",unknown,,,,,deckel zeigt offen an obwohl er geschlossen ist - hrc9480/435_c100,standhaltung objekt-x tab-sauger-körper zentralab-saug- und filter-anlage für kunststoff-steube in standhaltung objekt-gnull 3 in 0 2 is 0 2
2025-10-10 12:43:50,Name instanthaltung objekt absackanlage instanthaltung objekt el07-dw 1 0 kurzbeschreibung error 901 steht an,report,,901,,,error 901 steht an,absackanlage
2025-10-13 09:43:52,Name instanthaltung objekt absackanlage instanthaltung objekt el07-dw 1 0 kurzbeschreibung error 901 steht an,report,,901,,,error 901 steht an,absackanlage
2025-10-13 09:47:00,Name instanthaltung objekt palatierroboter portal 2 instanthaltung objekt el-1 0-sw 01 kurzbeschreibung blindstopfen öleinsprizung kopf abgerissen - austausch - tc8ajz_b100,report,,,,,blindstopfen öleinsprizung kopf abgerissen - austausch - tc8ajz_b100,0-sw
2025-10-13 09:49:55,Name instanthaltung objekt-lightsystem ccs-2000 extruderprogramm instanthaltung objekt el08-aw 1-sar-1 kurzbeschreibung störungen-woschalter 02 lässt sich nicht quetieren,report,,2000,,,störungen-woschalter 02 lässt sich nicht quetieren,ccs-2000
2025-10-13 11:10:16,Name instandhaltung-objekt leizystem cts-2000 extruderprogramm instandhaltung-objekt el 08-aw 1-s-a01 kurzbeschreibung störung niveauschalter 02 lässt sich nicht quittieren,report,,2000,,,störung niveauschalter 02 lässt sich nicht quittieren,cts-2000
2025-10-13 13:54:29,Name instandhaltung objekt palettierroboter portal 2 instandhaltung objekt el1 0-sv 01 kurzbeschreibung blinstopfen ühleinspritzung kopfabgerissen austausch tc8. 1 zb100,report,EL1 0-SV 01,,,EL1 0-SV 01,blinstopfen ühleinspritzung kopfabgerissen austausch tc8. 1 zb100,palettierroboter portal 2
2025-10-20 10:17:46,Name instanthaltung objekt leizes dem ccs-2000 extuderprogramm instanthaltung objekt el08-aw 1-s-a01 kürzbeschreibung störungen-woschalter 02 lässt sich nicht quetieren,report,,2000,,,,ccs-2000
2025-10-20 10:18:23,Name instandhaltung objekt standhaltung objekt palatierroboter portal 2 in standhaltung objekt el-1 0-sw 0-1 kurzbeschreibung blindstopfen öleinsprizung kopf abgerissen - austausch,report,STANDHALTUNG OBJEKT PALATIERROBOTER PORTAL 2 IN STANDHALTUNG OBJEKT EL-1 0-SW 0 1,,,STANDHALTUNG OBJEKT PALATIERROBOTER PORTAL 2 IN STANDHALTUNG OBJEKT EL-1 0-SW 0 1,blindstopfen öleinsprizung kopf abgerissen - austausch,standhaltung objekt palatierroboter portal 2 in standhaltung objekt el-1 0-sw 0 1
2025-10-20 12:02:39,Name instandhaltung objekt standhaltung objekt palatierroboter portal 2 in standhaltung objekt el-1 0-sw 0-1 kurzbeschreibung blindstopfen öleinsprizung kopf abgerissen - austausch,report,STANDHALTUNG OBJEKT PALATIERROBOTER PORTAL 2 IN STANDHALTUNG OBJEKT EL-1 0-SW 0 1,,,STANDHALTUNG OBJEKT PALATIERROBOTER PORTAL 2 IN STANDHALTUNG OBJEKT EL-1 0-SW 0 1,blindstopfen öleinsprizung kopf abgerissen - austausch,standhaltung objekt palatierroboter portal 2 in standhaltung objekt el-1 0-sw 0 1
